Phase,Readiness,Account,Customer,Branch,Rev 2024,Rev 2025,YoY%,Trend,Parts,Filters,Consistent,Equipment,Peak Season,Stock Cost,Sell Value,Annual Margin,GM%,Bin ROI
2,60,930146,SHERWOOD MEMORIAL GARDEN,Brunswick,3979,2973,-0.253,Declining,5,5,5,Case,Summer,763.86,1184.44,420.58,0.355087636351356,1.55059827717121
2,55,1365266,MILESTONE CONTRACTORS LP,Indianapolis,140612,96504,-0.314,Declining,7,0,7,"Etnyre, Deere",Spring,12337.91,21886.58,9548.67,0.436279674576841,1.77392929596666
2,55,1347612,INDIANA DEPT OF TRANSPORTATION,Indianapolis,60423,34606,-0.427,Declining,1,1,1,"ME, Etnyre",Spring,662.6,1175.4,512.8,0.436277012080994,1.77392091759734
2,55,262441,MAHONING CO ENGINEER,North Canton,29685,29077,-0.02,Declining,1,1,1,"Case, Bomag, Kobelco",Fall,803.6,1246.08,442.48,0.355097586029789,1.55062220009955
2,55,668610,FRED A NEMANN COMPANY,Monroe,15244,23727,0.557,Growing,2,0,2,"Case Backhoes, Kobelco Excavators",Summer,811.28,1258.14,446.86,0.355175099750425,1.55080859875752
2,55,458512,LOGAN FOUNDRY,Heath,3642,22363,5.141,Growing,1,1,1,Case,Fall,1036.95,1607.85,570.9,0.35507043567497,1.55055692174165
2,55,1347615,INDIANA DEPT OF TRANSPORTATION,Indianapolis,17450,21865,0.253,Growing,1,1,1,"Bomag, Etnyre",Summer,2054.4,3644.16,1589.76,0.436248682824025,1.77383177570093
2,55,541740,CITY OF KETTERING,Monroe,16478,16152,-0.02,Declining,3,2,3,"Case, Trail King",Summer,2179.55,3379.7,1200.15,0.355105482735154,1.55064118740107
2,55,1373682,P J E LAWNCARE AND,Indianapolis,7943,15822,0.899,Growing,2,0,2,Kubota,Spring,586.0,1003.04,417.04,0.415776040835859,1.71167235494881
2,55,730232T,EBONY CONSTRUCTION,Perrysburg,29467,10224,,New/Flat,2,1,2,"Case, Etnyre, Kubota",Fall,1932.55,2996.6,1064.05,0.355085763865715,1.55059377506403
2,55,296383,WHEELING & LAKE ERIE RLWY,North Canton,21487,8252,-0.616,Declining,8,4,8,"Case, International",Summer,3197.65,4958.14,1760.49,0.355070651494311,1.55055744062046
2,55,3049387,REPUBLIC SERVICES PROCUREMENT,Brunswick,12410,6044,-0.513,Declining,4,4,4,Case Excavators,Summer,1957.05,3034.52,1077.47,0.355070983219751,1.55055823816458
2,55,741328,HEIDELBERG MATERIALS,Perrysburg,1155,5195,3.497,Growing,1,1,1,"Case, Trail King",Fall,31.36,48.56,17.2,0.354200988467875,1.5484693877551
2,55,1411993,AZTEC TOPSOIL,Mansfield,1630,4931,2.025,Growing,2,2,2,Case,Spring,563.67,874.0,310.33,0.355068649885584,1.55055262831089
2,55,227940,D W DICKEY & SON INC,North Canton,10345,4882,-0.528,Declining,6,6,6,"Case, Caterpillar",Fall,2314.37,3588.76,1274.39,0.355105941885219,1.55064229142272
2,55,766795,MORLOCK ASPHALT LTD,Perrysburg,7250,4692,-0.353,Declining,4,4,4,"Bomag, Etnyre",Winter,904.68,1296.92,392.24,0.302439626191284,1.43356767033647
2,55,1654440,LAKESHORE GLOBAL INC,Novi,13217,3975,-0.699,Declining,3,3,3,Case,Winter,652.55,1011.75,359.2,0.355028416110699,1.55045590376216
2,55,3044320,GREAT LAKES FORKLIFT,Novi,8976,3926,-0.563,Declining,3,3,3,Case,Fall,966.49,1498.7,532.21,0.355114432508174,1.55066270732237
2,55,485600,SMITH & ASSOCIATES,Dublin,13943,2883,-0.793,Declining,8,7,8,"Kobelco Excavators, Case Backhoes",Spring,2114.8,3444.62,1329.82,0.386057097735019,1.62881596368451
2,55,2011857,AUDIA CONCRETE CONSTRUCTION,Novi,3258,2850,-0.125,Declining,3,3,3,Case,Spring,453.04,702.48,249.44,0.35508484227309,1.55059155924422
2,55,210111,A E P,North Canton,2009,2074,0.032,Growing,2,1,2,Case,Spring,403.77,625.93,222.16,0.354927867333408,1.55021423087401
2,55,1548657,JAW EXCAVATING LLC,Heath,2061,1517,-0.264,Declining,3,3,3,Case,Winter,341.28,529.16,187.88,0.355053292009978,1.550515705579
2,50,289314,SUBTROPOLIS MINING CO,North Canton,61635,112565,0.826,Growing,1,0,1,Gradall,Fall,9685.08,13938.6,4253.52,0.305161207007877,1.43918274294069
2,50,3033312,VECTOR FLEET MANAGEMENT,Monroe,40431,32605,-0.194,Declining,2,1,2,,Winter,4222.66,6547.67,2325.01,0.355089673120362,1.55060317430245
2,50,221503,CATALPADALE FARMS,North Canton,34760,29985,-0.137,Declining,9,0,9,Case,Winter,20057.97,31100.86,11042.89,0.35506703030077,1.55054873449307
2,50,513330,BARRETT PAVING MATERIAL,Monroe,17270,23869,0.382,Growing,1,0,1,"Case, Schwarze, Kobelco",Winter,995.06,1765.28,770.22,0.436316051844467,1.7740437762547
2,50,847631,IMPULLITTI LANDSCAPING INC,Mentor,12033,22033,0.831,Growing,1,0,1,"Case Backhoes, Case",Fall,970.42,1504.69,534.27,0.355069815044959,1.5505554296078
2,50,3067869,FOUNTAIN EXCAVATING,North Canton,7585,17163,1.263,Growing,1,0,1,"Extec, Case",Summer,668.5,1036.5,368.0,0.355041003376749,1.55048616305161
2,50,98910,WASHINGTON CO ENGINEER,Marietta,28240,15662,-0.445,Declining,3,2,3,"GE, Kobelco Excavators",Summer,3824.7,5873.8,2049.1,0.348854234056318,1.5357544382566
2,50,3011982,ECOSCAPE SUPPLY,North Canton,499,14802,28.638,Growing,1,0,1,"Case, Kobelco",Fall,973.83,1510.08,536.25,0.355113636363636,1.55066079295154
2,50,1373933,POINDEXTER EXCAVATING INC,Indianapolis,6712,13512,1.013,Growing,3,0,3,,Summer,7270.57,11409.61,4139.04,0.36276787725435,1.56928686471625
2,50,3012324,SWISS HILLS VOCATIONAL SCHOOL,Marietta,10221,11533,0.128,Growing,1,0,1,"Case, Bomag, Kobelco",Fall,737.84,1144.08,406.24,0.355080064331166,1.55058007156023
2,50,2074281,POURED BRICK WALLS,Novi,25293,9387,-0.629,Declining,7,5,7,Case Backhoes,Spring,7565.2,11730.08,4164.88,0.355059812038793,1.55053138053191
2,50,1985067,SITE WERX EXCAVATING LLC,Holt,24315,5480,-0.775,Declining,4,2,4,"Case, John Deere",Winter,1623.6,2517.5,893.9,0.355074478649454,1.55056664203006
2,50,51040,MIKE KELLY EXCAVATING,Brilliant,6891,4514,-0.345,Declining,3,2,3,,Fall,675.81,1047.99,372.18,0.355136976497867,1.55071691747681
2,50,3000991,ROLLING STONE TRUCKING INC,Evansville,969,268,-0.724,Declining,3,1,3,,Winter,146.0,237.8,91.8,0.386038687973087,1.62876712328767
3,45,488981,STRAWSER CONSTRUCTION INC,Dublin,11634,43376,2.729,Growing,1,0,1,Sakai,Fall,5721.7,8979.1,3257.4,0.36277577930973,1.56930632504326
3,45,758175,CITY OF LIVONIA,Novi,18004,21771,0.209,Growing,1,0,1,Case,Spring,1786.0,2769.2,983.2,0.355048389426549,1.5505039193729
3,45,1341463,HOWARD ASPHALT LLC,Indianapolis,25603,15078,-0.411,Declining,4,0,4,Etnyre,Winter,2041.99,3622.63,1580.64,0.436323886237347,1.77406843324404
3,45,671210,BP PIPELINE,Gallipolis,1654,13147,6.947,Growing,2,0,2,"Extec, Kobelco, International",Fall,3480.4,5396.88,1916.48,0.355108877721943,1.55064935064935
3,45,616631,BOONE CO WATER DISTRICT,Burlington,9150,9952,0.088,Growing,2,0,2,"Case Backhoes, Sakai",Winter,2442.96,3788.08,1345.12,0.355092817469536,1.55061073451878
